Part,Color,Num
50450,0,3
32062,4,78
32073,71,1
44294,71,2
4519,71,25
6587,72,1
32523,0,1
2453,0,3
3004,0,27
6112,0,3
3004,19,8
3009,19,6
3010,19,6
3001,70,7
3003,70,6
3622,70,10
2453,72,2
3004,73,14
3005,73,4
3010,73,8
3008,308,4
32013,0,10
41678,0,2
6538c,0,4
48723,70,2
6538c,70,91
32015,71,1
32034,71,1
62462,71,1
6536,71,6
32530,72,3
42003,72,4
6266,0,14
53989,135,12
2780,0,21
4274,1,15
43093,1,12
2445,0,1
3023,0,12
3710,0,3
3020,19,6
3021,19,12
3024,19,8
3623,19,6
3795,19,4
3832,19,8
4477,19,6
3020,70,8
3022,70,7
3027,70,4
3029,70,4
3033,70,2
3035,70,3
30503,70,2
3460,70,2
3623,70,2
3795,70,5
3832,70,2
3023,272,25
3666,272,13
3460,308,13
60479,308,6
3070b,15,6
2431,71,19
2431,308,48
41769,70,1
41770,70,1
4735,0,3
6020,0,3
3633,15,2
3957,70,9
63965,70,3
30055,71,4
3633,72,32
48729,72,6
3040b,0,24
3660,0,3
3665,0,36
3678b,0,3
3039,19,3
3665,19,4
3747b,19,2
3660,70,8
4286,72,4
2449,308,14
3040b,308,31
60477,308,6
3455,0,8
42023,0,2
4490,0,28
3659,19,8
6108,19,1
30099,308,2
61678,308,18
3581,0,2
4070,0,63
52107,0,9
60475,0,10
30137,70,6
30237,70,2
4733,71,1
6232,71,4
30136,308,84
30150,15,2
4738a,70,1
4739a,70,1
61780,70,2
32018,72,6
3849,0,2
4529,0,1
2527,4,4
64647,57,4
2561,70,3
2562,70,3
4599b,71,3
61482,71,1
2530,72,2
30154,72,1
60169,72,1
4528,135,1
2533c01,148,4
64647,272,4
2343,297,1
64644,297,2
64644,308,3
70501,334,1
33057,484,2
4865a,19,3
2566,0,3
33172,25,1
40234,71,1
64727,71,1
2547c02,72,1
64648,135,2
2540,0,12
32001,0,1
3794,28,12
2817,71,8
4085c,71,3
4623,71,19
60470,71,10
2654,72,4
3709b,72,3
4151b,72,2
3068bpr0939,19,1
2412b,19,13
2412b,70,6
2432,71,5
2555,71,2
4600,0,8
4624,71,16
30046,0,2
60594,0,6
60607,15,12
40241,70,2
3937,0,4
60471,0,4
3938,71,4
44300,72,1
32199,0,4
3062b,19,19
4589,33,1
3941,70,14
4589,70,24
6222,70,10
3062b,71,6
4589,71,5
3062b,72,10
4073,0,10
4073,4,2
4032,19,5
4073,25,1
4073,46,3
30357,70,2
4073,71,37
4073,182,3
30565,272,2
4073,297,76
2335,1,8
4495,4,2
sailbb46,15,1
sailbb47,15,7
84624,9999,1
30153,33,1
30153,34,1
30153,36,1
30153,41,1
30153,46,1
75347,70,6
2564,0,1
47996,0,6
47404,70,1
4790,70,1
48002,70,4
2560,308,4
64645,308,2
64651,308,2
372,72,1
